"shortdescription","regex","attemptregex"
"Three Choices (Regex)","001|1010|110","(0|01)"
"Three Choices (Regex)","001|1010|110","((0|01)(1|10))"
"Three Choices (Regex)","001|1010|110","(001)(10101)(110)"
"Three Choices (Regex)","001|1010|110","((001)|(10101)|(110))"
"Three Choices (Regex)","001|1010|110","((001)|(1010)|(110))"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","0|1*"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","(0|1*)"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","(0+1)|0"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","(0+1+0)|(1+1+0)"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","(0+1+0)|(1+1+0)|(1+1)|(0+0)|(1+0)"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","(0+1+0)|(1+1+0)|(1+1)|(0+0)|(1+0)|(0+1)"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","(0+0+0)|(1+0+0)|(0+1+0)|(0+0+1)|(1+1+0)|(0+1+1)|(1+0+1)|(1+1+1)|(1+1)|(0+0)|(1+0)|(0+1)"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","(0+0+0)|(1+0+0)|(0+1+0)|(0+0+1)|(1+1+0)|(0+1+1)|(1+0+1)|(1+1+1)|(1+1)|(0+0)|(1+0)|(0+1)"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","(001)"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","(00)|(01)|(10)|(11)|(000)|(100)|(010)|(001)|(110)|(101)|(011)|(111)"
"Odd number of 1s","0*10*(10*10*)*","0*1(0*10*1)*0"
"Odd number of 1s","0*10*(10*10*)*","0*1(0*10*1)*"
"Odd number of 1s","0*10*(10*10*)*","0*1(0*10*1)*0*"
"Length 1 or More","(0|1)(0|1)*","(1|0)*|(0|1)*"
"Length 1 or More","(0|1)(0|1)*","(1|0)"
"Length 1 or More","(0|1)(0|1)*","(0|1)*"
"Length 1 or More","(0|1)(0|1)*","1+(0|1)*"
"Length 1 or More","(0|1)(0|1)*","1+(0|1)*|0+(0|1)*"
"Odd number of 1s","0*10*(10*10*)*","0*1(11)*0*"
"Odd number of 1s","0*10*(10*10*)*","(1(11))*"
"Odd number of 1s","0*10*(10*10*)*","(1(11))*|0*"
"Odd number of 1s","0*10*(10*10*)*","1(11)*|0*"
"Odd number of 1s","0*10*(10*10*)*","(1(11)*)|0*"
"Odd number of 1s","0*10*(10*10*)*","0*1(11)+"
"Odd number of 1s","0*10*(10*10*)*","0*1(11)*"
"Odd number of 1s","0*10*(10*10*)*","0*1(11)*0*"
"Odd number of 1s","0*10*(10*10*)*","0*1(11)*"
"Odd number of 1s","0*10*(10*10*)*","0*1(11)*0"
"Odd number of 1s","0*10*(10*10*)*","0*1(11)*0+"
"Odd number of 1s","0*10*(10*10*)*","0*1(11)*0*"
"Odd number of 1s","0*10*(10*10*)*","0*1(11)*(0|1)*"
"Odd number of 1s","0*10*(10*10*)*","0*1(11)*0*"
"Odd number of 1s","0*10*(10*10*)*","0*1(11)*|0*"
"Odd number of 1s","0*10*(10*10*)*","0*(1(11)*|0*)"
"Odd number of 1s","0*10*(10*10*)*","0*1(11)*0*"
"Odd number of 1s","0*10*(10*10*)*","0*10*(11)*"
"Odd number of 1s","0*10*(10*10*)*","0*10*(11)*0*"
"Odd number of 1s","0*10*(10*10*)*","0*10*(10*1)*0*"
"Odd number of 1s","0*10*(10*10*)*","0*10*(10*1)*0*(10*1)*"
"Odd number of 1s","0*10*(10*10*)*","0*10*(10*1)*0*(10*1)*"
"Odd number of 1s","0*10*(10*10*)*","0*10*(10*1)*0*(10*1)*0*"
"Odd number of 1s","0*10*(10*10*)*","0*1(10*1)*"
"Odd number of 1s","0*10*(10*10*)*","0*1(10*1)*0*"
"Odd number of 1s","0*10*(10*10*)*","0*1(10*1)*(0*(11)*)"
"Odd number of 1s","0*10*(10*10*)*","0*1(10*1)*(0*|(11)*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","((baa)+)b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","((a|b)*(baa)+)b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*(a*))"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","b*a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","([ab]*)(baa)([ab]*)(b)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*[baa][ab]*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a|b*)a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","aa*|b*a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)+(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(baa)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|baa)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b|baa)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(ba|a|baa)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","b*a*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a*b*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","b*a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","b*a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*abb((a|b)*b)*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa((a|b)*b)+"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)(a|b)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+|b*a*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","((a)+)|((b)*(a)*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)(a|b)*b+"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+|b*a*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a|b*)a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(b*a+)?"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a*|(b*a+)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)+(baa)a*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a*b*)*baa(a*b*)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a*)|(a*b*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a(a)*|(a*b*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(baa)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","a*b*(baa)+b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*(baa)+[ab]*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|b*a*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(b|a)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|b*a*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|b*a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(b|a)*(baa)+(b|a)*(b)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+|(b)*(a)*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","a*b*(ba+)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","a*|b*(baa+)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+|b*a)*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|(b*a*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|(b*a*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a*b*)*(baa)(a*b*)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a*b*)*(baa)(a*b*)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a*b*)*(baa)(a*b*)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|b*a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a*b*)*(baa)a*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a*b*)*(baa)(a*b*)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a*b*)*(baa)(a*b*)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a*b*)*(baa)(a*b*)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+|b*a*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+|a*b*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+|b*a*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+|b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*baa[ab]*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","b*a*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","b*a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*baa[ab]*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*baa[ab]*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","b*a*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","b*a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a*b*)*baa(a*b*)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a*b*)*(baa)+(a*b*)b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a*b*)*(baa)+(a*b*)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a*b*)*(baa)+(a*b*)b*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a*b*)*(baa)+(a*b*)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","a*b*(baa)a*b+"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a*b+)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+|b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","a*b*(baa)+a*b+"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*baa[ab]*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*baa[ab]*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*baa[ab]*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(aa*)|(b*a*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(aa*)|(b*a*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","b*a*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","b*a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)+(a|b)b+"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)+(a|b)*b+"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|b*a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*baa[ba]*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*baa[ba]*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","((a)+)|([b]*[a]*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","((a)+)|([b]*[a]*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a*)|(b+a+)*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*(baa)[ab]*(b)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","((a)(a)*)|((b)*(a)*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","((a*|b*)+baa+(a*|b*)+b)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a|b)*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","b*a*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a*b*)*(baa)+(a*b*)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(b*)(a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a*|b*a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a)*(baa)*((a)*(baa)*)*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)+(a|b)*b+"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*aab+(a|b)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa+(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","((a)+|(b*a*))"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","a|b*[baa]b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","a*b+aa+b+"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)+(a|b)*b+"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(ba{2})(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a(a)*(b)*(a)*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a|(b)*(a)*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","([a-b]*(baa)[a-b]*b)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)+(a|b)*b+"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(a*b*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*(baa)+b[ab]*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*(baa)+[ab]*b[ab]*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a*a|b*a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+|b*)a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)+(a|b)*b "
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a)+|b*a*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*aab(a|b)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|(a*b*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+|b+)a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","([ab]*(baa)*[ab]*)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","([ab]*(baa)+[ab]*)+b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)*b*a*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+b*a*|b*a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|a*b*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*(baaa*)+b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a*a|b*a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+b*a*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+a*)|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)+b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*(baa)b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*(baa)b*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","([ab]*(baa)+[ab]*)+b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+b*a*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+[ba]*|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","a*b*baaa*b*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(a*b+a*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a)*(b)*(baa)*(a)*(b)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a)*(b)*(baa)(a)*(b)*(b)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a)(a)*(bb)(b)*(a)(a*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a)(a)*(b)(b)*(a)(a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)+(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a*|b*)*baa(a*|b*)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a(a*))|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)+(a|b)*b+"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|(b*a)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a*b*)*baa(a*b*)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a*|(b(b)*a(a)*))"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a(a*)|((b)*(a)*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|b*a*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|b*a*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a(a)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(b|a)*(baa)+(a|b)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(b|a)*(baa)+(a|b)*b+"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b){0,}(baa){1}(a|b){0,}b{1}"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","b{0,}a{1,}"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(b{0,}a{0,}|a{1,}|)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*(baa)[ba]*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+|b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)+(a|b)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*a*b+a+a+(a|b)*b+"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a*|b*a*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","a*b*(baa)a*b*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*(baa)+[ab]*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*baa[ab]*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","[a]*|[b]*[a]*"
"first and third","a(a|b)a(a|b)*","a(a|b)a(a|b)*"
"even prefix","(ab|ba)*","(ab|ba)*"
"non isolated 'b'","(a|(b*bb))*","(a|bb*)*"
"non isolated 'b'","(a|(b*bb))*","(a|bbb*)*"
"non isolated 'b'","(a|(b*bb))*","(a+b*b)"
"non isolated 'b'","(a|(b*bb))*","(a+bb*b)*"
"non isolated 'b'","(a|(b*bb))*","(a+bb*)*"
"non isolated 'b'","(a|(b*bb))*","(b)*"
"non isolated 'b'","(a|(b*bb))*","(bb)*"
"non isolated 'b'","(a|(b*bb))*","(bb)*a"
"non isolated 'b'","(a|(b*bb))*","(a+b)*"
"non isolated 'b'","(a|(b*bb))*","(a+bb)*"
"non isolated 'b'","(a|(b*bb))*","(a+bb)*"
"non isolated 'b'","(a|(b*bb))*","(a+bb*)*"
"non isolated 'b'","(a|(b*bb))*","(a|bb)*"
"non isolated 'b'","(a|(b*bb))*","(a|b+)*"
"non isolated 'b'","(a|(b*bb))*","(a|bb*)*"
"non isolated 'b'","(a|(b*bb))*","(a|bb)*"
"non isolated 'b'","(a|(b*bb))*","(a|b*bb*)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*(bab)(a|b)*"
"first and third","a(a|b)a(a|b)*","(a)(a|b)(a)(a|b)*"
"non isolated 'b'","(a|(b*bb))*","(a*|bb*)*"
"non isolated 'b'","(a|(b*bb))*","(a*|(bb)*)*"
"non isolated 'b'","(a|(b*bb))*","(a*|(b*b)*)*"
"non isolated 'b'","(a|(b*bb))*","(a*|(bb)+)*"
"non isolated 'b'","(a|(b*bb))*","(a*|(bbb)+)*"
"non isolated 'b'","(a|(b*bb))*","(a*|(b*bb*)+)*"
"non isolated 'b'","(a|(b*bb))*","(a*|(b*bb*)*)*"
"non isolated 'b'","(a|(b*bb))*","(a*|(bb)*)b*"
"non isolated 'b'","(a|(b*bb))*","(a*|(bb)*)*b*"
"even prefix","(ab|ba)*","(aabb|abab|abba|bbaa|baba|baab)*(aa|ab|ba|bb)*"
"non isolated 'b'","(a|(b*bb))*","(a*|(bb)b*)*"
"even prefix","(ab|ba)*","((aabb|abab|abba|bbaa|baba|baab)*(aa|ab|ba|bb)*)+((ab)?)"
"even prefix","(ab|ba)*","((aa)+(bb))*"
"even prefix","(ab|ba)*","(a+b+a+b+)*"
"even prefix","(ab|ba)*","(aa|bb)|(ab|ba)*"
